Campaign report
1 November 2025 - 30 April 2026
Campaign status	Campaign	Budget	Budget name	Budget type	Currency code	Status	Status reasons	Optimisation score	Campaign type	Conv. value / cost	Avg. target ROAS	Conv. value	Cost / conv.	TrueView avg. CPV	TrueView views	Impr.	Avg. CPM	Cost	Conversions	Clicks	CTR	Conv. (Platform comparable)	Conv. value/Cost (platform comparable)	Unique users
Enabled	KM | PMax |  Kurti Pant	6800.00	 --	Daily	INR	Eligible (Limited)	account prepaid funds are low; limited by budget; some sitelinks are disapproved; Products are excluded	81.21	Performance Max	2.46	176.00%	"3,054,478.89"	604.40	0.35	"617,184"	"22,689,337"	54.65	1240003.04	"2,051.64"	"429,380"	1.89%	0.00	0.00	
Paused	Shopping | Square Neck Top	2000.00	 --	Daily	INR	Paused	campaign paused; Products are excluded; account prepaid funds are low	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Shopping | Denim	1000.00	 --	Daily	INR	Paused	campaign paused; Products are excluded; account prepaid funds are low	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	PMax: SHP_SmartShopping_Shimmer	1000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Performance Max	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	GH_Display_sareeshapers_270225	1000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Display	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Shopping | Turtle Neck Ribbed Tee	2000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Total: Campaigns	 --	 --	 --	 --	INR	 --		 --	 --	2.75	 --	"13,992,082.14"	512.15	0.34	"2,078,566"	"54,732,365"	92.94	5086953.52	"9,932.51"	"1,001,479"	1.83%	163.00	0.03	
Total: Account					INR					2.75	 --	"13,992,082.14"	512.15	0.34	"2,078,566"	"54,732,365"	92.94	5086953.52	"9,932.51"	"1,001,479"	1.83%	163.00	0.03	
Total: In-stream video					INR				In-stream video	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Total: Search					INR				Search	5.04	 --	"3,932,334.99"	343.91	0	0	"197,797"	3941.13	779543.71	"2,266.70"	"56,087"	28.36%	0.00	0.00	
Total: Shopping					INR				Shopping	3.42	350.00%	"1,652,002.91"	309.66	0	0	"5,548,805"	87.11	483331.44	"1,560.83"	"83,254"	1.50%	0.00	0.00	
Total: Performance Max					INR				Performance Max	2.25	 --	"8,361,551.36"	614.45	0.33	"1,787,946"	"46,328,521"	80.35	3722672.80	"6,058.52"	"845,181"	1.82%	0.00	0.00	
Total: Display					INR				Display	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Total: Demand Gen					INR				Demand Gen	0.46	 --	"46,192.88"	2182.69	0.35	"290,620"	"2,657,242"	38.16	101405.58	46.46	"16,957"	0.64%	163.00	1.57	
